    294 30014684	transitional	This term is used to indicate the presence of an industry recognized Organic certification upon the product labeling, but the manufacturer or producer is still in the process of getting the certification to get the label organic. (GPC attValue)
    294 30014683	organic	This term is used to indicate the presence of an industry recognized Organic certification upon the product labelling. (GPC attValue)
    294 30014677	pink	The main colour of the item is termed Pink. (GPC attValue)
    286 30015520	grey	The main colour of the item is termed Grey. (GPC attValue)
    286 30015369	blue	The main colour of the item is termed Blue. (GPC attValue)
    286 30014988	purple	The main colour of the item is termed Purple. (GPC attValue)
    285 30014978	multicolour	Horticulture items having or consisting of two or more different colours. (GPC attValue)
    238 30017729	source of energy	 (GPC attValue)
    227 30005020	outdoor	 (GPC attValue)
    227 30004152	plastic	Plastic is a material consisting of any of a wide range of synthetic or semi-synthetic organics that are malleable and can be molded into solid objects of diverse shapes. Plastics are typically organic polymers of high molecular mass, but they often contain other substances. They are usually synthetic, most commonly derived from petrochemicals, but many are partially natural. Plasticity is the general property of all materials that are able to irreversibly deform without breaking, but this occurs to such a degree with this class of moldable polymers that their name is an emphasis on this ability. (GPC attValue)
    226 30005019	indoor	 (GPC attValue)
    207 30012100	indoor/outdoor	 (GPC attValue)
    190 30017726	ornamental and lawn grass	 (GPC attValue)
    184 30004369	wood	 (GPC attValue)
    182 30004052	metal	 (GPC attValue)
    177 30010684	biennial	Products whose lifespan is typically two years. (GPC attValue)
    177 30004039	male	 (GPC attValue)
    177 30003891	female	 (GPC attValue)
    175 30006880	annual	Products whose lifespan is typically one year. (GPC attValue)
    174 30016236	foliage	Plant products that derive their decorative purpose from their specticular coloured leaves or leaf-form. (GPC attValue)
    174 30016235	flowering	Plant products that derive their decorative purpose from their beatifull coloured flowers. (GPC attValue)
    174 30016234	perrenial	Products who lifespan is typically for more than 2 years. (GPC attValue)
    168 30002762	dried	Product is exposed to a drying process to remove nearly all moisture. (GPC attValue)
    161 30014956	"extra" class	Products in this class must be of superior quality. They must be characteristic of the variety and/or commercial type specified. Depending on the nature of the produce specific provisions can apply as specified in the UNECE Standards for Fresh Fruit and vegetables. They must be free from defects, with the exception of very slight superficial defects, provided these do not affect the general appearance of the produce, the quality, the keeping quality and presentation in the package. (GPC attValue)
    161 30014609	class ii	This class includes products that do not qualify for inclusion in a higher classes but satisfy the minimum requirements for this product as specified in the UNECE Standards for Fresh Fruit and vegetables. The following defects may be allowed, provided the produce retain their essential characteristics as regards the quality, the keeping quality and presentation:- defects in shape- defects in colouring- skin defects. (GPC attValue)
    161 30014608	class i	Products in this class must be of good quality. They must be characteristic of the variety and/or commercial type. There can be specific provisions, depending on the nature of the produce as specified in the UNECE Standards for Fresh Fruit and vegetables. Slight defects, however, may be allowed, provided these do not affect the general appearance of the produce, the quality, the keeping quality and presentation in the package:- a slight defect in shape- slight defects in colouring- slight skin defects. (GPC attValue)
    160 30004340	unisex	 (GPC attValue)
    157 30000147	adult	 (GPC attValue)
    155 30018888	green manure	 (GPC attValue)
    146 30000164	all age	 (GPC attValue)
    121 30001448	liquid	 (GPC attValue)
    105 30018887	nuts and seed	 (GPC attValue)
    102 30003578	fresh	 (GPC attValue)
     98 30006667	child 2 years onward	 (GPC attValue)
     98 30000628	child	 (GPC attValue)
     94 30002749	gelatine	 (GPC attValue)
     93 30013614	no added ingredient	No additions such as seasonings, liquids, glazing, marinades, batter, or breading are present. (GPC attValue)
     93 30002967	low fat	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the level of fat contained is "low fat".  Claims of this nature may be regulated. (GPC attValue)
     93 30001082	full fat	Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify the level of fat contained is "full fat".  Claims of this nature may be regulated. (GPC attValue)
     91 30002766	reduced fat	Indicates, with reference to the product branding, labeling or packaging, the descriptive term that is used by the product manufacturer to identify the level of fat contained is "reduced fat".  Claims of this nature may be regulated. (GPC attValue)
     90 30001909	powder	 (GPC attValue)
     89 30006665	baby/infant	 (GPC attValue)
     88 30002835	cheese	Product has cheese or cheese flavouring added. (GPC attValue)
     86 30004006	leather	Leather is a durable and flexible material created by tanning animal rawhide and skin, often cattle hide. (GPC attValue)
     85 30013597	shelf stable	Product does not require refrigeration to maintain quality. (GPC attValue)
     82 30013608	sauce/gravy	Product has a thick, liquid-based flavoring applied topically. (GPC attValue)
     82 30006666	child 1-2 year	 (GPC attValue)
     82 30001246	head	Structure typically composed of bone, brain, and sensory organs. Also used for the target area of the human body. (GPC attValue)
     81 30013609	seasoning	Product has a dry, nonbread-based coating of herbs and/or spices applied topically. (GPC attValue)
     80 30002041	rolled	A product that has been rolled around itself or other added products. (GPC attValue)
     78 30013613	flavoured solution/marinade incorporated and topical marinade	Product has a liquid-based flavouring added by needle injection or by vacuum tumbling and a liquid-based flavouring applied topically. (GPC attValue)
     78 30013612	flavoured solution/marinade incorporated	Product has a liquid-based flavouring added by needle injection or by vacuum tumbling. (GPC attValue)
     78 30013611	unflavoured solution incorporated	Product has unflavoured solution added by needle injection or by vacuum tumbling. (GPC attValue)
     78 30013610	stuffing/filling	Product has a stuffing mechanically added to its centre or the product is wrapped around a filling. (GPC attValue)
     78 30013607	topical marinade	Product has a liquid-based flavoring applied topically. (GPC attValue)
     78 30013606	glazing	Product has a glaze coating applied topically. (GPC attValue)
     78 30013603	wild/wild caught	Product was harvested from wild populations. (GPC attValue)
     78 30013602	domesticated/farm raised	Product was produced using domesticated stock and common husbandry practices. (GPC attValue)
     78 30013596	individually frozen without ice glazing	Product pieces are individually frozen before packaging and maintained at -18 °C or less at all times after freezing. (GPC attValue)
     78 30013595	individually frozen with ice glazing	Product pieces are individually frozen before packaging and maintained at -18 °C or less at all times after freezing. Product is misted at the start of the freezing process to create a glaze of ice to keep pieces from sticking together and to minimize freezer burn. (GPC attValue)
     78 30013594	bulk frozen	Product is frozen after packaging and maintained at not less than -12.0 °C or more than -2.0 °C at all times after freezing. (GPC attValue)
